r_points,r_text,place,,,,
40,we have had nice food here the staff was also friendly and was very close to our hotel which was very convinient,To Elliniko Ouzomezedopoleio,Review 134 Similarity,0.078086881,Review 186 Similarity,0
40,Attentive wait staff when you need them but do not bother you to much- one of my pet peeves. Food was good. The beer could have been colder but good for being out of the States. Will probably drop in again during my stay.,To Elliniko Ouzomezedopoleio,Review 243 Similarity,0.063757671,Review 189 Similarity,0
20,"The atmosphere was very nice. Service was good as well. Very friendly staff and helpful though, the dish I ordered was a fish- that was so salty it was impossible to eat. i ordered some vegetables in adition so i coulf try to it the fish with the vegetables but it didnt help a lot. At the end they got wrong the bill two times in raw",To Elliniko Ouzomezedopoleio,Review 244 Similarity,0.063757671,Review 190 Similarity,0
50,"Very nice open plan, new style tavern. Very nice taste of the traditional Greek cuisine. Good service!",To Elliniko Ouzomezedopoleio,Review 160 Similarity,0.059028134,Review 192 Similarity,0
40,Excellent interior design and excellent quality. Very good service. Absolute Greek culture fusion!!!,To Elliniko Ouzomezedopoleio,Review 35 Similarity,0.055215763,Review 194 Similarity,0
30,"We were there last week, OK i was really frustrated as i couldnt find parking nearby. When there is a wedding party in the hotel, dont expect to find parking nearby. Anyway the problem was my food, i ordered this beef with mashed potato, called a name i cant remember... meat was not too hot, and before i finish my dish the meat was cold - maybe the kitchen staff didnt reheat it enough :) we were offered desserts and it was a nice gesture but really i wasnt excited.. better luck next time for me. The staff was very helpful and the manager was a nice guy but ....",To Elliniko Ouzomezedopoleio,Review 125 Similarity,0.052057921,Review 195 Similarity,0
40,"Bright, spacious and well decorated with plenty of seating both indoors and out. The food is mainly Greek (as opposed to Cypriot)-and it's all good. Lots of starters and salads (good for vegetarians) and a good selection of meats/souvlaki and saganaki. Relaxed and unpretentious. I'd go again",To Elliniko Ouzomezedopoleio,Review 249 Similarity,0.047088161,Review 196 Similarity,0
40,"The portions were big with a good tasteWe ordered zucchini balls, Greek salad, chips, feta pie and octopus plate.Tasteful and delicious.",To Elliniko Ouzomezedopoleio,Review 6 Similarity,0,Review 198 Similarity,0
50,"All what we have ordered was exceptional, nice atmosphere , waiter was very friendly , all was perfect",To Elliniko Ouzomezedopoleio,Review 45 Similarity,0,Review 200 Similarity,0
50,"Unsusual decor, modern with a touch of old greece. Scrumptious is the only word to describe whatever emerged from the kitchens, salads and dips and souvlaki - could not reach the dessert stage as the appetizers filled us up.",To Elliniko Ouzomezedopoleio,Review 83 Similarity,0,Review 202 Similarity,0
50,The original Greek cuisine at your plate. The cuisine is immaculate. Small treasures at your plate. Little bit expensive but for that taste you have to pay gold. If you taste the original pasturma you are going to thank me.,To Elliniko Ouzomezedopoleio,Review 115 Similarity,0,Review 204 Similarity,0
50,"greak greek tastes we tried the calamari skewer, the mushrooms tigania, pork tigania, salad, and a few more all was delicious!",To Elliniko Ouzomezedopoleio,Review 129 Similarity,0,Review 205 Similarity,0
